1 change detected
1 change detected
['2024-08-02T14:14:00.895329', '{"userid":5309475649}']
['2024-08-02T14:14:01.069399', '{"userid":5309475649}']
['2024-08-02T14:14:01.269746', '{"userid":3774841349}']
['2024-08-02T14:14:01.469266', '{"userid":9352436145}']
['2024-08-02T14:14:01.668854', '{"userid":9352436145}']
['2024-08-02T14:14:01.868490', '{"userid":9352436145}']
['2024-08-02T14:14:02.067059', '{"userid":9352436145}']
['2024-08-02T14:14:02.269727', '{"userid":5309475649}']
['2024-08-02T14:14:02.468969', '{"userid":9352436145}']
['2024-08-02T14:14:02.668901', '{"userid":5309475649}']
['2024-08-02T14:14:02.870268', '{"userid":5309475649}']
['2024-08-02T14:14:03.068805', '{"userid":9352436145}']
['2024-08-02T14:14:03.269036', '{"userid":3774841349}']
['2024-08-02T14:14:03.469727', '{"userid":9352436145}']
['2024-08-02T14:14:03.668499', '{"userid":5309475649}']
['2024-08-02T14:14:03.868778', '{"userid":3774841349}']
['2024-08-02T14:14:04.069021', '{"userid":9352436145}']
['2024-08-02T14:14:04.270560', '{"userid":9352436145}']
['2024-08-02T14:14:04.468429', '{"userid":5309475649}']
['2024-08-02T14:14:04.668470', '{"userid":9352436145}']
['2024-08-02T14:14:04.868274', '{"userid":5309475649}']
['2024-08-02T14:14:05.068714', '{"userid":9352436145}']
['2024-08-02T14:14:05.268390', '{"userid":3774841349}']
['2024-08-02T14:14:05.468562', '{"userid":3774841349}']
2 changes detected
1 change detected
['2024-08-02T14:15:25.605702', '{"userid":2490720753}']
['2024-08-02T14:15:25.792283', '{"userid":2754319113}']
['2024-08-02T14:15:25.990263', '{"userid":2754319113}']
['2024-08-02T14:15:26.190888', '{"userid":2754319113}']
['2024-08-02T14:15:26.390086', '{"userid":7237083622}']
['2024-08-02T14:15:26.589971', '{"userid":2754319113}']
['2024-08-02T14:15:26.789660', '{"userid":7237083622}']
['2024-08-02T14:15:26.989834', '{"userid":7237083622}']
['2024-08-02T14:15:27.189550', '{"userid":2490720753}']
['2024-08-02T14:15:27.388662', '{"userid":2490720753}']
['2024-08-02T14:15:27.590861', '{"userid":2490720753}']
['2024-08-02T14:15:27.790047', '{"userid":2754319113}']
['2024-08-02T14:15:27.991298', '{"userid":2490720753}']
['2024-08-02T14:15:28.190611', '{"userid":2490720753}']
['2024-08-02T14:15:28.389014', '{"userid":2490720753}']
['2024-08-02T14:15:28.589682', '{"userid":2490720753}']
['2024-08-02T14:15:28.789309', '{"userid":2490720753}']
['2024-08-02T14:15:28.990742', '{"userid":2754319113}']
['2024-08-02T14:15:29.187583', '{"userid":2754319113}']
['2024-08-02T14:15:29.390588', '{"userid":2754319113}']
['2024-08-02T14:15:29.589796', '{"userid":7237083622}']
['2024-08-02T14:15:29.790383', '{"userid":2490720753}']
['2024-08-02T14:15:29.989684', '{"userid":2754319113}']
['2024-08-02T14:15:30.190751', '{"userid":2490720753}']
['2024-08-02T14:15:30.391585', '{"userid":2754319113}']
['2024-08-02T14:15:30.588609', '{"userid":2754319113}']
['2024-08-02T14:15:30.789460', '{"userid":7237083622}']
['2024-08-02T14:15:30.989589', '{"userid":7237083622}']
['2024-08-02T14:15:31.190025', '{"userid":2490720753}']
['2024-08-02T14:15:31.389387', '{"userid":7237083622}']
['2024-08-02T14:15:31.590366', '{"userid":2754319113}']
['2024-08-02T14:15:31.789867', '{"userid":2754319113}']
['2024-08-02T14:15:31.989605', '{"userid":2754319113}']
['2024-08-02T14:15:32.189703', '{"userid":7237083622}']
